EventIndex 	 Time 	 Duration 	 EventType 	 Accepted 	 TotalRev 	 TotalCost 	 AvgNodeUtilization 	 AvgLinkUtilization 	 MIPExecTime
0  62  277  ARRIVE  true     35.9398     35.9398      0.0123      0.0017  0.1
1  125  732  ARRIVE  true     38.1573     38.1573      0.0260      0.0044  0.1
2  187  451  ARRIVE  true     38.2424     38.2424      0.0407      0.0063  0.0
3  250  835  ARRIVE  true    121.3764    121.3764      0.0829      0.0194  69.9
4  312  396  ARRIVE  true    127.2840    127.2840      0.1118      0.0371  114.8
0  339  277  DEPART  true     35.9398     35.9398      0.0995      0.0353  0.1
5  375  1464  ARRIVE  true    108.4921    108.4921      0.1353      0.0474  24.9
6  437  278  ARRIVE  true     51.6153     51.6153      0.1550      0.0506  0.1
7  500  2505  ARRIVE  true     37.5115     37.5115      0.1705      0.0535  0.1
8  562  909  ARRIVE  true     76.7837     76.7837      0.1971      0.0597  0.9
9  625  451  ARRIVE  true     51.8993     51.8993      0.2160      0.0654  0.1
2  638  451  DEPART  true     38.2424     38.2424      0.2013      0.0634  0.0
10  687  295  ARRIVE  true    126.7956    126.7956      0.2415      0.0767  17.2
4  708  396  DEPART  true    127.2840    127.2840      0.2125      0.0590  114.8
6  715  278  DEPART  true     51.6153     51.6153      0.1928      0.0557  0.1
11  750  1021  ARRIVE  true     69.7475     69.7475      0.2201      0.0613  3.1
12  812  479  ARRIVE  true    123.8696    123.8696      0.2592      0.0766  40.0
1  857  732  DEPART  true     38.1573     38.1573      0.2454      0.0739  0.1
13  875  1127  ARRIVE  true     94.7321     94.7321      0.2747      0.0843  20.1
14  937  744  ARRIVE  true    107.5072    107.5072      0.3048      0.0977  7.6
10  982  295  DEPART  true    126.7956    126.7956      0.2647      0.0844  17.2
15  1000  1528  ARRIVE  true    132.2745    132.2745      0.2926      0.1001  208.2
16  1062  482  ARRIVE  true    125.0814    125.0814      0.3198      0.1125  22.6
9  1076  451  DEPART  true     51.8993     51.8993      0.3009      0.1069  0.1
3  1085  835  DEPART  true    121.3764    121.3764      0.2588      0.0938  69.9
17  1125  1090  ARRIVE  true    107.4180    107.4180      0.2947      0.1003  40.7
18  1187  372  ARRIVE  true    114.2180    114.2180      0.3273      0.1156  51.1
12  1291  479  DEPART  true    123.8696    123.8696      0.2883      0.1002  40.0
19  1309  596  ARRIVE  true     76.2502     76.2502      0.3127      0.1098  1.1
20  1369  1271  ARRIVE  true     90.4512     90.4512      0.3367      0.1233  3.3
21  1428  837  ARRIVE  true    107.8160    107.8160      0.3707      0.1356  13.3
8  1471  909  DEPART  true     76.7837     76.7837      0.3440      0.1294  0.9
22  1488  1135  ARRIVE  true    127.7068    127.7068      0.3819      0.1426  14.8
16  1544  482  DEPART  true    125.0814    125.0814      0.3548      0.1302  22.6
23  1547  806  ARRIVE  true    126.3412    126.3412      0.3795      0.1435  12.1
18  1559  372  DEPART  true    114.2180    114.2180      0.3469      0.1282  51.1
24  1607  844  ARRIVE  true     39.0459     39.0459      0.3620      0.1304  0.2
25  1666  477  ARRIVE  true     91.3468     91.3468      0.3983      0.1412  19.3
14  1681  744  DEPART  true    107.5072    107.5072      0.3683      0.1278  7.6
26  1726  1225  ARRIVE  true    132.5537    150.6072      0.3881      0.1475  13.9
11  1771  1021  DEPART  true     69.7475     69.7475      0.3608      0.1420  3.1
27  1785  3249  ARRIVE  true     52.4490     52.4490      0.3850      0.1453  0.1
5  1839  1464  DEPART  true    108.4921    108.4921      0.3492      0.1333  24.9
28  1845  404  ARRIVE  true     78.8679     78.8679      0.3747      0.1416  1.4
29  1904  1368  ARRIVE  true    123.0161    123.0161      0.4087      0.1574  22.9
19  1905  596  DEPART  true     76.2502     76.2502      0.3844      0.1479  1.1
30  1964  453  ARRIVE  true    118.2479    118.2479      0.4180      0.1588  9.2
13  2002  1127  DEPART  true     94.7321     94.7321      0.3886      0.1484  20.1
31  2023  895  ARRIVE  true    128.8115    128.8115      0.4270      0.1628  17.1
32  2083  1294  ARRIVE  true     45.1996     45.1996      0.4439      0.1671  0.1
33  2142  761  ARRIVE  true     55.3315     55.3315      0.4656      0.1709  0.0
25  2143  477  DEPART  true     91.3468     91.3468      0.4292      0.1601  19.3
34  2202  250  ARRIVE  true    112.2193    112.2193      0.4717      0.1705  18.4
17  2215  1090  DEPART  true    107.4180    107.4180      0.4357      0.1640  40.7
28  2249  404  DEPART  true     78.8679     78.8679      0.4102      0.1557  1.4
35  2261  2183  ARRIVE  true     85.8036     85.8036      0.4314      0.1682  3.3
21  2265  837  DEPART  true    107.8160    107.8160      0.3974      0.1559  13.3
36  2321  995  ARRIVE  true     79.0912     79.0912      0.4202      0.1655  4.9
23  2353  806  DEPART  true    126.3412    126.3412      0.3955      0.1522  12.1
37  2380  2780  ARRIVE  true     36.1595     36.1595      0.4068      0.1562  0.1
30  2417  453  DEPART  true    118.2479    118.2479      0.3732      0.1452  9.2
38  2440  260  ARRIVE  true     96.3549     96.3549      0.4019      0.1535  15.4
24  2451  844  DEPART  true     39.0459     39.0459      0.3868      0.1513  0.2
34  2452  250  DEPART  true    112.2193    112.2193      0.3443      0.1409  18.4
15  2528  1528  DEPART  true    132.2745    132.2745      0.3164      0.1252  208.2
