EventIndex 	 Time 	 Duration 	 EventType 	 Accepted 	 TotalRev 	 TotalCost 	 AvgNodeUtilization 	 AvgLinkUtilization 	 MIPExecTime
0  62  323  ARRIVE  true     35.9398     39.7021      0.0187      0.0030  0.1
1  125  626  ARRIVE  true     38.1573     41.7567      0.0373      0.0066  0.1
2  187  2498  ARRIVE  true     41.6176     90.4682      0.0661      0.0123  2.4
3  250  453  ARRIVE  true    142.1061    301.8334      0.1468      0.0371  17.2
4  312  1485  ARRIVE  false    127.2840      0.0000      0.1468      0.0371  null
5  375  392  ARRIVE  true    129.6203    269.6403      0.2230      0.0540  129.0
0  385  323  DEPART  true     35.9398     39.7021      0.2043      0.0510  0.1
6  437  1002  ARRIVE  true     62.9026    129.7523      0.2412      0.0598  0.3
7  500  685  ARRIVE  true     37.5115     40.8764      0.2586      0.0636  0.1
8  562  2805  ARRIVE  false     76.7837      0.0000      0.2586      0.0636  null
9  625  1078  ARRIVE  true     62.2003    134.0414      0.2932      0.0705  1.8
10  687  268  ARRIVE  true    143.1265    157.8776      0.3313      0.0845  1.7
3  703  453  DEPART  true    142.1061    301.8334      0.2506      0.0597  17.2
11  750  1174  ARRIVE  false     69.7475      0.0000      0.2506      0.0597  null
1  751  626  DEPART  true     38.1573     41.7567      0.2320      0.0561  0.1
5  767  392  DEPART  true    129.6203    269.6403      0.1558      0.0393  129.0
12  812  349  ARRIVE  false    134.2026      0.0000      0.1558      0.0393  null
13  875  250  ARRIVE  false     94.7321      0.0000      0.1558      0.0393  null
14  937  1594  ARRIVE  true    121.0963    127.2316      0.1897      0.0496  1.2
10  955  268  DEPART  true    143.1265    157.8776      0.1516      0.0356  1.7
15  1000  335  ARRIVE  true    132.2745    150.6308      0.1867      0.0512  27.2
16  1062  1253  ARRIVE  true    150.3429    171.3328      0.2281      0.0670  2.2
17  1125  1817  ARRIVE  false    107.4180      0.0000      0.2281      0.0670  null
7  1185  685  DEPART  true     37.5115     40.8764      0.2107      0.0632  0.1
18  1187  552  ARRIVE  true    125.8900    276.7890      0.2842      0.0922  270.2
19  1309  751  ARRIVE  false     76.2502      0.0000      0.2842      0.0922  null
15  1335  335  DEPART  true    132.2745    150.6308      0.2490      0.0766  27.2
20  1369  380  ARRIVE  false     90.4512      0.0000      0.2490      0.0766  null
21  1428  443  ARRIVE  true    122.3770    267.5988      0.3099      0.1043  49.8
6  1439  1002  DEPART  true     62.9026    129.7523      0.2729      0.0956  0.3
22  1488  469  ARRIVE  true    127.7068    145.5895      0.3091      0.1098  17.2
23  1547  1422  ARRIVE  true    147.9821    170.0325      0.3475      0.1229  1.6
24  1607  675  ARRIVE  true     44.9502     47.0267      0.3608      0.1257  0.0
25  1666  253  ARRIVE  true    109.1361    112.9946      0.3857      0.1361  0.8
9  1703  1078  DEPART  true     62.2003    134.0414      0.3511      0.1292  1.8
26  1726  3382  ARRIVE  true    132.5537    151.2344      0.3871      0.1482  14.5
18  1739  552  DEPART  true    125.8900    276.7890      0.3136      0.1191  270.2
27  1785  320  ARRIVE  true     52.4490     58.2770      0.3426      0.1228  0.1
28  1845  275  ARRIVE  true     78.8679     91.6465      0.3709      0.1294  0.6
21  1871  443  DEPART  true    122.3770    267.5988      0.3101      0.1017  49.8
29  1904  437  ARRIVE  false    123.0161      0.0000      0.3101      0.1017  null
25  1919  253  DEPART  true    109.1361    112.9946      0.2852      0.0912  0.8
22  1957  469  DEPART  true    127.7068    145.5895      0.2490      0.0770  17.2
30  1964  1234  ARRIVE  false    118.2479      0.0000      0.2490      0.0770  null
31  2023  2580  ARRIVE  true    147.2498    159.9263      0.2862      0.0882  4.3
32  2083  918  ARRIVE  true     45.1996     51.0208      0.3019      0.0913  0.1
27  2105  320  DEPART  true     52.4490     58.2770      0.2729      0.0876  0.1
28  2120  275  DEPART  true     78.8679     91.6465      0.2446      0.0810  0.6
33  2142  287  ARRIVE  true     55.3315    125.8954      0.2951      0.0897  1.9
34  2202  664  ARRIVE  true    131.1824    140.6856      0.3277      0.0996  3.4
35  2261  250  ARRIVE  true     93.2595    210.5687      0.3784      0.1195  44.4
24  2282  675  DEPART  true     44.9502     47.0267      0.3652      0.1167  0.0
16  2315  1253  DEPART  true    150.3429    171.3328      0.3238      0.1008  2.2
36  2321  2218  ARRIVE  false     86.2322      0.0000      0.3238      0.1008  null
37  2380  859  ARRIVE  true     36.1595     41.0097      0.3371      0.1031  0.1
33  2429  287  DEPART  true     55.3315    125.8954      0.2866      0.0944  1.9
38  2440  956  ARRIVE  true     96.3549    109.0119      0.3185      0.1038  6.6
35  2511  250  DEPART  true     93.2595    210.5687      0.2678      0.0839  44.4
14  2531  1594  DEPART  true    121.0963    127.2316      0.2340      0.0736  1.2
39  2544  565  ARRIVE  true    124.2200    143.6300      0.2727      0.0869  11.8
40  2589  1446  ARRIVE  false     92.3148      0.0000      0.2727      0.0869  null
41  2633  303  ARRIVE  true     94.6493     99.3354      0.2965      0.0929  0.1
42  2678  452  ARRIVE  true    119.4961    130.0494      0.3316      0.1051  1.6
2  2685  2498  DEPART  true     41.6176     90.4682      0.3028      0.0993  2.4
43  2723  2223  ARRIVE  false     66.4217      0.0000      0.3028      0.0993  null
44  2767  1317  ARRIVE  true    115.0521    131.6786      0.3363      0.1118  44.1
45  2812  2551  ARRIVE  true     78.1044    166.3840      0.3814      0.1204  9.3
46  2857  548  ARRIVE  true    120.8039    140.0561      0.4089      0.1367  28.3
34  2866  664  DEPART  true    131.1824    140.6856      0.3763      0.1268  3.4
47  2901  271  ARRIVE  true     81.9913    196.6886      0.4313      0.1420  267.8
41  2936  303  DEPART  true     94.6493     99.3354      0.4075      0.1359  0.1
48  2946  631  ARRIVE  true    110.7308    129.1385      0.4305      0.1456  0.3
23  2969  1422  DEPART  true    147.9821    170.0325      0.3921      0.1326  1.6
49  2991  997  ARRIVE  true     51.7520    121.1364      0.4268      0.1409  4.7
32  3001  918  DEPART  true     45.1996     51.0208      0.4110      0.1378  0.1
50  3035  999  ARRIVE  true     75.8953     89.3399      0.4330      0.1452  0.8
51  3080  1430  ARRIVE  true     49.4453     55.7306      0.4513      0.1482  0.1
39  3109  565  DEPART  true    124.2200    143.6300      0.4126      0.1350  11.8
